spec,dv,country,term,estimate,std_error,t_value,p_value
Baseline (p=3),p90p100,Brazil,life_exp,-1.9966752882760586e-4,2.4366803947080404e-4,-0.8194243662863703,0.4180895014199376
Baseline (p=3),p90p100,Brazil,gdp_x_debt,-2.6064660632067434e-4,0.11397126808648503,-0.0022869501295965876,0.9981882649573026
Baseline (p=3),p90p100,Burkina Faso,(Intercept),0.3170319587833685,0.07991325887838123,3.967200978073671,4.1783213353559977e-4
Baseline (p=3),p90p100,Burkina Faso,"L(p90p100, 1)",1.5311029211178715,0.1296283932848472,11.811478043652095,8.280023775521352e-13
Baseline (p=3),p90p100,Burkina Faso,"L(p90p100, 2)",-0.8456258407799029,0.1525908151233566,-5.541787296281804,5.047635719738839e-6
Baseline (p=3),p90p100,Burkina Faso,public_debt,0.03427741314117796,0.026342382118706792,1.3012267830112516,0.2030861618473752
Baseline (p=3),p90p100,Burkina Faso,"L(public_debt, 1)",-0.03869380832537171,0.029668363460421773,-1.3042110791513686,0.20207982042745606
Baseline (p=3),p90p100,Burkina Faso,growth,-0.06479103162560934,0.07795082019939872,-0.8311783180712332,0.41243970634317717
Baseline (p=3),p90p100,Burkina Faso,life_exp,0.0010026130154534576,0.005412990456128368,0.1852234958807917,0.8543003308910376
Baseline (p=3),p90p100,Burkina Faso,"L(life_exp, 1)",-0.0175874449230606,0.008987036523693434,-1.9569793531708743,0.0597125585539306
Baseline (p=3),p90p100,Burkina Faso,"L(life_exp, 2)",0.013881359868691559,0.005471974964081881,2.536809828226371,0.01662505185314933
Baseline (p=3),p90p100,Burkina Faso,gdp_x_debt,0.28908114614965075,0.21046877424256077,1.3735108554226239,0.1797717021667132
Baseline (p=3),p90p100,Canada,(Intercept),0.09647453182905014,0.04304348753083591,2.241327024440963,0.0316424947118906
Baseline (p=3),p90p100,Canada,"L(p90p100, 1)",0.9868231416094296,0.04899718437318751,20.140405091306512,1.786644544327775e-20
Baseline (p=3),p90p100,Canada,public_debt,-0.04127828028325282,0.02644259006021678,-1.5610528389711915,0.12777224762836376
Baseline (p=3),p90p100,Canada,"L(public_debt, 1)",0.05452784550668815,0.025945096190801757,2.1016628770881085,0.04306777249067968
Baseline (p=3),p90p100,Canada,growth,0.01699730090464358,0.16049519000175158,0.10590536018218413,0.9162798241266359
Baseline (p=3),p90p100,Canada,life_exp,-0.0012889588554568028,7.358088263538247e-4,-1.7517578062280375,0.08883222288457156
Baseline (p=3),p90p100,Canada,gdp_x_debt,0.0421343171085732,0.19982649868376684,0.2108545032120709,0.8342594803502348
Baseline (p=3),p90p100,Chile,(Intercept),0.08008044798281205,0.04742132242541499,1.688701282187224,0.10016839358710335
Baseline (p=3),p90p100,Chile,"L(p90p100, 1)",0.955097161244182,0.08211734109896322,11.630882691308189,1.411638115068434e-13
Baseline (p=3),p90p100,Chile,public_debt,-0.0012315798310329827,0.006850078708378489,-0.1797906102197934,0.858353844921378
Baseline (p=3),p90p100,Chile,growth,0.1155691601408596,0.02706213932454963,4.270510869627374,1.4176897889132454e-4
Baseline (p=3),p90p100,Chile,life_exp,-7.275454777869788e-4,4.1897171455262104e-4,-1.7365026146546756,0.09127087988086258
Baseline (p=3),p90p100,Chile,gdp_x_debt,-0.2013232676862857,0.08579235921719108,-2.346634007075359,0.024732379740272748
Baseline (p=3),p90p100,Colombia,(Intercept),0.47932783881920166,0.1720249148607121,2.7863861418406253,0.008550530155224837
Baseline (p=3),p90p100,Colombia,"L(p90p100, 1)",0.6092803346189939,0.1291358408497809,4.718135032146095,3.7476419366732657e-5
Baseline (p=3),p90p100,Colombia,public_debt,0.01751328539906997,0.027821304187785063,0.6294918915684469,0.5331149288831029
Baseline (p=3),p90p100,Colombia,growth,0.022953827203627757,0.14220744582369302,0.16141086755812786,0.8726979634811727
Baseline (p=3),p90p100,Colombia,life_exp,-0.0034026758891906555,0.00154081537517815,-2.208360549879142,0.033862387535551264
Baseline (p=3),p90p100,Colombia,gdp_x_debt,0.04315954365537587,0.4097207892498199,0.10533891564154953,0.9167082847126672
Baseline (p=3),p90p100,Costa Rica,(Intercept),0.35725742790681586,0.10844386238808414,3.294399701739796,0.0022638669855866347
Baseline (p=3),p90p100,Costa Rica,"L(p90p100, 1)",0.22016685585564008,0.2031260659545646,1.0838926792629715,0.2858227541412748
Baseline (p=3),p90p100,Costa Rica,public_debt,-0.012230544208132249,0.022003738280947566,-0.5558393783806428,0.5818567798411369
Baseline (p=3),p90p100,Costa Rica,growth,-0.26079416608508743,0.12012530566916983,-2.1710177104841306,0.03679659221108586
Baseline (p=3),p90p100,Costa Rica,life_exp,6.701647066509447e-4,5.710308373899661e-4,1.1736051063618451,0.24847795999503736
Baseline (p=3),p90p100,Costa Rica,gdp_x_debt,0.8423577566210221,0.365580705033583,2.3041636088087345,0.027267254861658794
Baseline (p=3),p90p100,Cote d'Ivoire,(Intercept),0.41312823184627356,0.12137121843257197,3.403840195241904,0.0017184624230074882
Baseline (p=3),p90p100,Cote d'Ivoire,"L(p90p100, 1)",0.6346884151360987,0.11404451446592712,5.565269124151723,3.1641078785510817e-6
Baseline (p=3),p90p100,Cote d'Ivoire,public_debt,0.030844191374659442,0.018314104807615066,1.6841768515944238,0.10130785160448819
Baseline (p=3),p90p100,Cote d'Ivoire,"L(public_debt, 1)",-0.04942534925196119,0.01977062993204583,-2.499938010161659,0.0174090074694211
Baseline (p=3),p90p100,Cote d'Ivoire,growth,0.03995809489616627,0.07612149920990596,0.524925222320981,0.6030415120696218
Baseline (p=3),p90p100,Cote d'Ivoire,life_exp,-0.004190490468816101,0.0015395946998835888,-2.7218140391967776,0.01016427314897141
Baseline (p=3),p90p100,Cote d'Ivoire,gdp_x_debt,0.018620384420667886,0.08802333302836224,0.21153918830440288,0.833729482575032
Baseline (p=3),p90p100,Cyprus,(Intercept),0.5267007544422018,0.19422446120266348,2.711814728076995,0.01054246626674153
Baseline (p=3),p90p100,Cyprus,"L(p90p100, 1)",0.31469326893695115,0.1734800950329863,1.8140021705493874,0.07877922175510262
Baseline (p=3),p90p100,Cyprus,public_debt,0.1606900850117821,0.06181668723432078,2.5994612814283355,0.01385622150415883
Baseline (p=3),p90p100,Cyprus,"L(public_debt, 1)",-0.10047512242428372,0.056060592327100665,-1.7922593796018866,0.0822643888623576
Baseline (p=3),p90p100,Cyprus,growth,0.10216396175550263,0.11788214928456203,0.8666618514808682,0.3923853341931193
Baseline (p=3),p90p100,Cyprus,life_exp,-0.004174439713512482,0.00211319105173066,-1.9754199271730313,0.05663302393226443
Baseline (p=3),p90p100,Cyprus,gdp_x_debt,-0.23497308292070168,0.16748663075235495,-1.402936352980507,0.1699748623845796
Baseline (p=3),p90p100,Cyprus,"L(gdp_x_debt, 1)",0.1259539275174883,0.0722000955293884,1.7445119233425375,0.09037846641604515
Baseline (p=3),p90p100,Denmark,(Intercept),-0.3050632694572768,0.07147598579190068,-4.2680526344254375,1.4923166204732836e-4
Baseline (p=3),p90p100,Denmark,"L(p90p100, 1)",0.43351948608665936,0.13522170071665027,3.205990486653292,0.0029269733884459085
Baseline (p=3),p90p100,Denmark,public_debt,-0.008959244231869128,0.025654960448650805,-0.34922073841436363,0.7290772662375762
Baseline (p=3),p90p100,Denmark,"L(public_debt, 1)",0.03432442436168383,0.02245831288481305,1.5283616600112016,0.1356737497363277
Baseline (p=3),p90p100,Denmark,growth,0.24508199051641333,0.16219106754044993,1.5110695936155094,0.14001005685784157
Baseline (p=3),p90p100,Denmark,life_exp,0.005943771223107277,0.0013379101871048918,4.44257864271818,8.958441423071646e-5
Baseline (p=3),p90p100,Denmark,gdp_x_debt,-0.31985561936026513,0.30646264696629477,-1.0437018100788098,0.303987723161
Baseline (p=3),p90p100,Egypt,(Intercept),0.11371390604343973,0.040294728020055647,2.8220541899883678,0.008256585104258694
