spec,dv,country,ect_coefficient,ecm_r_squared
Baseline (p=2),p90p100,Burkina Faso,-0.3145229196620314,0.6611882447521548
Baseline (p=2),p90p100,Canada,-0.013176858390570367,0.5021033242785959
Baseline (p=2),p90p100,Chile,-0.04490283875581802,0.4251904242467972
Baseline (p=2),p90p100,Colombia,-0.3907196653810061,0.21231678445515006
Baseline (p=2),p90p100,Costa Rica,-0.7798331441443599,0.35407204447101104
Baseline (p=2),p90p100,Cote d'Ivoire,-0.36531158486390125,0.3088103902612385
Baseline (p=2),p90p100,Cyprus,-0.6853067310630488,0.5501019385369559
Baseline (p=2),p90p100,Denmark,-0.5664805139133406,0.4523247331210643
Baseline (p=2),p90p100,Egypt,-0.2630864984280298,0.5646287718984396
Baseline (p=2),p90p100,El Salvador,-0.4662099673735043,0.2275709649697805
Baseline (p=2),p90p100,Finland,-0.14023752359770314,0.5623140152460855
Baseline (p=2),p90p100,France,-0.148580268266288,0.6165627964200786
Baseline (p=2),p90p100,Germany,-0.20441506912384522,0.3011255022125725
Baseline (p=2),p90p100,Ghana,-0.13658527900545825,0.5925857523785417
Baseline (p=2),p90p100,Greece,-0.14696827267466228,0.30356315766499126
Baseline (p=2),p90p100,Guatemala,-0.07139129194900051,0.05803122330961577
Baseline (p=2),p90p100,Guyana,-0.1688998532360232,0.13643078360408362
Baseline (p=2),p90p100,Haiti,-0.08409112652213147,0.0804508461024718
Baseline (p=2),p90p100,Honduras,-0.08153233637048551,0.12348566917460554
Baseline (p=2),p90p100,Iceland,-0.18155243161803003,0.38593593363489953
Baseline (p=2),p90p100,India,-0.413245684084782,0.42417799986858734
Baseline (p=2),p90p100,Indonesia,-0.3245238497655596,0.35996069230828814
Baseline (p=2),p90p100,Iran,-0.6396920068549562,0.3017130350607802
Baseline (p=2),p90p100,Ireland,-0.7044600065364508,0.5111368680174077
Baseline (p=2),p90p100,Italy,-0.25092232865816577,0.6070604196709388
Baseline (p=2),p90p100,Jamaica,-0.11994531494252192,0.12742966029864863
Baseline (p=2),p90p100,Japan,-0.20376965901738964,0.3862864613646378
Baseline (p=2),p90p100,Jordan,-0.30919746110726976,0.5199357887644397
Baseline (p=2),p90p100,Kenya,-0.04869940023931729,0.9426394869356044
Baseline (p=2),p90p100,Lebanon,-0.231712586076822,0.27348320771189855
Baseline (p=2),p90p100,Luxembourg,-0.4455049704973182,0.3161766858536285
Baseline (p=2),p90p100,Malaysia,-0.04501113830545023,0.23867361013327462
Baseline (p=2),p90p100,Malta,-0.41507333449165074,0.2713185969292649
Baseline (p=2),p90p100,Mauritania,-0.19945356053147645,0.6562503505712692
Baseline (p=2),p90p100,Mexico,-0.13905159486429197,0.7725851375257211
Baseline (p=2),p90p100,Netherlands,-0.47484915151193574,0.5742807612856635
Baseline (p=2),p90p100,New Zealand,-0.5211469385688423,0.4060794111615485
Baseline (p=2),p90p100,Norway,-0.17542456365258097,0.5998790791276727
Baseline (p=2),p90p100,Pakistan,-0.5401999904106503,0.5739081118192327
Baseline (p=2),p90p100,Panama,-0.1014980657259158,0.2875449555695008
Baseline (p=2),p90p100,Paraguay,-0.1204766736351669,0.22500490572394688
Baseline (p=2),p90p100,Portugal,-0.021162586465138133,0.3932233788093979
Baseline (p=2),p90p100,Singapore,-0.25913050556372474,0.37915569092455204
Baseline (p=2),p90p100,South Africa,0.009297463461988897,0.23178053509717286
Baseline (p=2),p90p100,South Korea,-0.0183745750626102,0.4014502066065552
Baseline (p=2),p90p100,Spain,-0.3188963997361305,0.21326777818664044
Baseline (p=2),p90p100,Sweden,-0.15522009142512316,0.5731349160346993
Baseline (p=2),p90p100,Switzerland,-0.3177705517954871,0.2846928593888754
Baseline (p=2),p90p100,Thailand,-0.35175046508630614,0.3907848482805282
Baseline (p=2),p90p100,Togo,-0.21698021797062106,0.23866288896466237
Baseline (p=2),p90p100,Trinidad and Tobago,-0.3031267874350321,0.25947317525058256
Baseline (p=2),p90p100,Turkey,-0.15632148202039742,0.47502344349557374
Baseline (p=2),p90p100,United Arab Emirates,-0.18469360588164052,0.8267104945615034
Baseline (p=2),p90p100,United Kingdom,-0.6213364181911316,0.6046731990874177
Baseline (p=2),p90p100,United States,-0.33621699062012256,0.6045555988933219
Baseline (p=2),p90p100,Uruguay,-0.11975663512726686,0.2782388807929697
Baseline (p=2),p90p100,Venezuela,-0.13766672614934994,0.1051502796592087
Baseline (p=2),p90p100,Zambia,-0.24173510264753206,0.9413175505332815
