dv,model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
gini,(2) Fiscal size,csh_g,0.888728993593942,1.885934966325818,0.4712405302741512,0.6384753271149288,-2.8520140700712613,4.629472057259145,102,3411
gini,(2) Fiscal size,inflation,0.168634470106619,0.1068982847224542,1.577522694068046,0.11777176254598014,-0.04339777078887358,0.3806667110021116,102,3411
gini,(2) Fiscal size,public_debt:growth,-0.6862200764400003,1.0851526992205804,-0.6323719020676843,0.528558886564866,-2.8386153101607317,1.4661751572807313,102,3411
gini,(3) Mil vs civ,public_debt,0.7112527311680921,0.4401424690603186,1.6159602427972466,0.1092224027081042,-0.16187153042429048,1.5843769927604745,101,3324
gini,(3) Mil vs civ,growth,-0.4921354393662543,0.8297160873652569,-0.5931371548176417,0.5544152380121676,-2.1380689655237366,1.153798086791228,101,3324
gini,(3) Mil vs civ,life_exp,0.008076517426793144,0.05014820649712353,0.16105296661519505,0.8723733918488377,-0.09140403454417055,0.10755706939775685,101,3324
gini,(3) Mil vs civ,military_exp,9.708163443756673,13.290840356488054,0.7304401515151401,0.46681215117437347,-16.657288626742215,36.073615514255565,101,3324
gini,(3) Mil vs civ,nonmil_g,-1.0978923478339686,2.5754781315792683,-0.42628680646600847,0.670806031027147,-6.206948164881941,4.0111634692140035,101,3324
gini,(3) Mil vs civ,composite_inflation,-0.010149496400251073,0.004049758464346471,-2.506197959608178,0.013800211805943168,-0.01818312782045705,-0.002115864980045094,101,3324
gini,(3) Mil vs civ,public_debt:growth,1.8137328813054072,1.8094055358050471,1.0023915840947368,0.3185500143215778,-1.7756409769905646,5.4031067396013785,101,3324
gini,(4) Debt x civ,public_debt,0.45681090306133704,0.6348406303939097,0.7195678430000492,0.4734528748434046,-0.8025421373869426,1.7161639435096165,101,3324
gini,(4) Debt x civ,growth,-0.5572681680712814,0.8101224470962815,-0.6878814061611247,0.4931042385020671,-2.1643331825664376,1.0497968464238747,101,3324
gini,(4) Debt x civ,life_exp,0.007444635667406969,0.05032042892414775,0.14794459877575566,0.8826814455381213,-0.09237755927144893,0.10726683060626287,101,3324
gini,(4) Debt x civ,military_exp,9.5344179361562,13.226843577015902,0.7208384888382608,0.4726740624764204,-16.70408173881447,35.77291761112687,101,3324
gini,(4) Debt x civ,nonmil_g,-1.8923266244242363,3.196216957499545,-0.5920519944630528,0.5551388109757317,-8.232761295188524,4.448108046340051,101,3324
gini,(4) Debt x civ,composite_inflation,-0.009870115166932104,0.003852294322837099,-2.5621394264763917,0.01187927850821341,-0.01751203084765393,-0.002228199486210279,101,3324
gini,(4) Debt x civ,public_debt:growth,1.916589691073453,1.7390609778399144,1.102083087077284,0.27304484576759186,-1.5332394866978774,5.366418868844783,101,3324
gini,(4) Debt x civ,public_debt:nonmil_g,1.456525596613384,2.371231747614737,0.6142485221356067,0.5404322997883666,-3.2473603363225725,6.160411529549341,101,3324
gini,(5) Full,public_debt,0.6530161089216252,0.6469712036486572,1.0093433915433594,0.315221973751735,-0.6304007257757213,1.9364329436189718,101,3324
gini,(5) Full,growth,-0.5187344774440439,0.7960884107353077,-0.6516041063390364,0.5161365729935374,-2.09795973891333,1.0604907840252424,101,3324
gini,(5) Full,life_exp,0.0049914074098944446,0.05053948273087541,0.09876253456082784,0.9215225655096673,-0.09526533135668257,0.10524814617647145,101,3324
gini,(5) Full,military_exp,9.196305616307894,12.961851636654382,0.7094901156175845,0.47965508237957444,-16.516521331034262,34.909132563650054,101,3324
gini,(5) Full,nonmil_g,-1.586386974052099,3.203831739945961,-0.49515302388472393,0.6215676348994306,-7.941927324836104,4.769153376731905,101,3324
gini,(5) Full,composite_inflation,-0.009861696548241736,0.003800081417746415,-2.595127699682308,0.010862716883066061,-0.017400035870380793,-0.00232335722610268,101,3324
