year,ifs,iso,country,region,income_group,lending_category,pvd,hhd,gg,cg,pop,emp,hc,ctfp,labsh,pl_c,pl_i,pl_g,pl_x,pl_m,debt,debt_imp,rgdpc,population,growth,log_growth
1979,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.33942757882949903,0.23724794420697495,7617883.999999999,3483715.772628784,2.774463415145874,0.9155058860778807,0.6329604387283325,0.4380929172039032,0.5380758047103882,0.5193622708320618,0.4487588405609131,0.40594929456710815,0.33942757882949903,0.33942757882949903,21436,7549.425,0.056324841078204305,0.054795752637772005
1980,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.3539701995179001,0.24981424499234703,7609751.999999999,3511729.7172546387,2.792579889297486,0.9057491421699524,0.6329604387283325,0.4841918647289276,0.5863829255104065,0.5571371912956238,0.4810679256916046,0.4268086850643158,0.3539701995179001,0.3539701995179001,21932,7549.433,0.02313864526963986,0.022875005909198172
1981,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.3726927874094022,0.2653018652196054,7604513,3488420.9632873535,2.8093748092651367,0.8918669819831848,0.6329604387283325,0.4332195818424225,0.4845465719699859,0.48860806226730347,0.4239080548286438,0.37513816356658936,0.3726927874094022,0.3726927874094022,21866,7564.629,-0.0030093014772934524,-0.0030138385295090317
1982,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.39493535406587266,0.2859106526676562,7602181,3435217.1421051025,2.8262710571289063,0.8902262449264526,0.6329604387283325,0.43876948952674866,0.45215487480163574,0.4952530562877655,0.42357155680656433,0.3714471459388733,0.39493535406587266,0.39493535406587266,22254,7574.613,0.017744443428153296,0.017588848723215696
1983,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.4341252221887043,0.32690183921139687,7603102,3422595.977783203,2.843268871307373,0.8635101914405823,0.6329604387283325,0.4397013783454895,0.4277662336826325,0.5078800916671753,0.4093623161315918,0.365707814693451,0.4341252221887043,0.4341252221887043,22944,7552.896,0.031005661903478025,0.030534696681701053
1984,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.45755236005192246,0.3514931974828923,7607292.999999999,3420871.9730377197,2.8603687286376953,0.802666187286377,0.6329604387283325,0.4272386133670807,0.3798702955245972,0.49153223633766174,0.38487085700035095,0.3464919626712799,0.45755236005192246,0.45755236005192246,23016,7554.132,0.0031380753138075313,0.0031331618320369014
1985,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.4750567987335339,0.3731294806576449,7614867.999999999,3431707.859039306,2.8775715827941895,0.7860287427902222,0.6329604387283325,0.4376116096973419,0.35545843839645386,0.5065940022468567,0.3687974214553833,0.3423400819301605,0.4750567987335339,0.4750567987335339,23514,7559.776,0.021637122002085507,0.021406362196302566
1986,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.5166584658806689,0.4166267821412739,7625393,3442780.2562713623,2.8948776721954346,0.7838730812072754,0.6329604387283325,0.5922836065292358,0.48283860087394714,0.7056107521057129,0.43428876996040344,0.4076206088066101,0.5166584658806689,0.5166584658806689,24039,7568.242,0.02232712426639449,0.022081523018493796
1987,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.5518711109702658,0.4537288904761777,7639352,3442195.177078247,2.912288188934326,0.7901619672775269,0.6329604387283325,0.7127142548561096,0.5793918371200562,0.8717707395553589,0.4780688881874085,0.45584723353385925,0.5518711109702658,0.5518711109702658,24409,7578.903,0.015391655226922917,0.01527440528478417
1988,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.5736495860474745,0.45361075009745067,7658840,3471370.6970214844,2.9298031330108643,0.801517903804779,0.6329604387283325,0.7262852191925049,0.586125910282135,0.9006091356277466,0.5049509406089783,0.4869190752506256,0.5736495860474745,0.5736495860474745,25112,7599.791,0.028800852144700725,0.028393902790825033
1989,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.5633188174229481,0.4544426871965872,7686572,3515850.54397583,2.9474236965179443,0.8088781237602234,0.6329604387283325,0.6802311539649963,0.5621718168258667,0.8552978038787842,0.5132521390914917,0.4938188791275024,0.5633188174229481,0.5633188174229481,26078,7627.861,0.038467664861420836,0.0377462274616281
1990,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.5593172813357024,0.45530720183926193,7723948.999999999,3560341.3581848145,2.9651498794555664,0.8088955283164978,0.6329604387283325,0.7803117632865906,0.6705196499824524,1.0868189334869385,0.5494494438171387,0.52867889404296875,0.5593172813357024,0.5593172813357024,26930,7722.953,0.03267121711787714,0.032148859822227004
1991,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.5613418571907093,0.4622193392153726,7772701,3591025.114059448,2.9799985885620117,0.8229478001594543,0.6329604387283325,0.7720685601234436,0.6473626494407654,1.1047723293304443,0.5877710580825806,0.5594691634178162,0.5613418571907093,0.5613418571907093,27689.7713,7800.446069,0.028212822131451924,0.027822171025868696
