dv,income_group,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
p99p100,Low income,nonmil_g,-8.511794234546443e-4,0.06340054766131156,-0.013425426985294846,0.9893772677253689,-0.1303323716265651,0.12863001277965583,30,1121
p99p100,Low income,composite_inflation,-0.0017670623698305796,8.510605173715634e-4,-2.076306365718879,0.04653050737520152,-0.0035051598231040045,-2.896491655715464e-5,30,1121
p99p100,Low income,public_debt:growth,-0.013119902747979358,0.014515689188048124,-0.9038429094212059,0.37327973318761243,-0.04276489496095972,0.016525089465001003,30,1121
gini,High income,public_debt,-0.42191133039668816,1.012502112110081,-0.4167016792857981,0.6798631991992927,-2.4897165059059345,1.6458938451125584,30,1125
gini,High income,growth,-0.9388221969519039,1.94591652406932,-0.4824575902097946,0.6329826459158518,-4.912913916320121,3.0352695224163124,30,1125
gini,High income,life_exp,-0.1662063589499625,0.19762557417460141,-0.8410164506498528,0.40699248728025805,-0.5698116257474681,0.2373989078475432,30,1125
gini,High income,military_exp,11.360381369131904,26.173804070511785,0.434036311211287,0.6673676984792551,-42.09365776069953,64.81442049896334,30,1125
gini,High income,nonmil_g,-5.222703564245242,10.612276854067577,-0.4921378923735327,0.6262040986194835,-26.895864281950608,16.45045715346012,30,1125
gini,High income,composite_inflation,4.529012152412884,4.151954695863127,1.0908144438390537,0.28403848829256056,-3.9504105627589627,13.00843486758473,30,1125
gini,High income,public_debt:growth,0.8213466126137974,3.3114201475271643,0.24803455195111562,0.8057976117652146,-5.941475545921912,7.584168771149506,30,1125
gini,Upper middle income,public_debt,0.8962901268208722,0.8682797379305275,1.032259636689329,0.3149120159652269,-0.9210402506230647,2.713620504264809,19,602
gini,Upper middle income,growth,0.8058313017161308,1.572594010423575,0.512421703487909,0.61426136589232,-2.485645789918843,4.0973083933511045,19,602
gini,Upper middle income,life_exp,-0.19500830131508812,0.1443760604793874,-1.3506969276456293,0.19266102571337268,-0.49719086877915475,0.10717426614897851,19,602
gini,Upper middle income,military_exp,-7.976281669097194,37.60299329711172,-0.21211826425822994,0.834273721476389,-86.68025115770644,70.72768781951206,19,602
