spec,iso,country,income_group,status,best_order,n_obs,r2,adj_r2,aic,bic,sigma,lr_dd,sum_phi,f_stat,f_pvalue,ect_coef,ecm_r2
base,KAZ,Kazakhstan,Upper middle income,ok,"(1,0)",29,0.011279744596631176,-0.0647756596651663,-161.24709952847343,-155.77791620852753,0.013809585487921711,-0.0038231899266236574,0.0741081560392694,11.318026104078589,8.772484999249631e-4,-0.9258918439607307,0.46541713770840754
base,KEN,Kenya,Lower middle income,ok,"(1,0)",42,0.2010609616740306,0.16008972893936557,-217.33570167010447,-210.385023196971,0.01717238988553266,-0.09558077189194715,0.2711204950578242,NA,NA,-0.7288795049421758,0.47772728961503147
base,KGZ,Kyrgyzstan,Lower middle income,insufficient_obs,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
base,KNA,Saint Kitts and Nevis,High income,ok,"(1,0)",38,0.7169444838450006,0.7007698829218578,-408.1044207716282,-401.5540761327227,0.0010564113303811065,0.0014779374306497105,0.8407476499627305,1.5411350522278946,0.6760003248717662,-0.15925235003726923,0.08093714203490066
base,KWT,Kuwait,High income,ok,"(1,0)",31,0.011702510202507775,-0.0588901676401703,-164.92410802293833,-159.18815920499773,0.015652170170803607,-0.0051371145065979605,-0.04172178923266937,14.840636630378683,1.5897685652806984e-4,-1.0417217892326691,0.5145738223665496
base,LAO,Lao PDR,Lower middle income,ok,"(1,0)",42,0.3392856344238386,0.3054028464455739,-389.8508802442053,-382.90020177107186,0.002202406726362003,-0.0030444507054767215,0.5815080570306841,6.366927656346184,0.031144434526223376,-0.41849194296931597,0.24614162690419575
base,LBN,Lebanon,Lower middle income,ok,"(1,0)",32,0.013758750623110959,-0.0542578872649504,-201.8598825013048,-195.9969388901059,0.00957328223665782,-0.003707697079975856,0.08617670405637445,12.01939409687795,7.342373049453396e-4,-0.9138232959436251,0.4532303435353736
base,LCA,Saint Lucia,Upper middle income,ok,"(1,1)",41,0.8115403827028808,0.7962598731923035,-455.8254632217822,-447.25760288826064,8.687894186338792e-4,0.016826861949725644,0.8889217160462841,1.990019385357664,0.5559414141179163,-0.11107828395371598,0.343193391453006
base,LKA,Sri Lanka,Lower middle income,ok,"(1,1)",42,0.4041733315840803,0.3571343840775604,-340.0052447726406,-331.31689668122374,0.003943739443827296,0.037504667492547245,0.58883466252323,5.661033061738101,0.05299597591447597,-0.41116533747677075,0.23649096936961078
base,LSO,Lesotho,Lower middle income,ok,"(1,0)",42,0.7198584177350197,0.7054921827470719,-370.4977427081522,-363.54706423501875,0.002773042862010758,-0.0056080127587461864,0.8496489440363032,1.6631907756189137,0.6432186031084483,-0.15035105596369633,0.07858884764838935
base,LUX,Luxembourg,High income,ok,"(1,1)",42,0.08705754529234755,0.014983140973322318,-219.32363185300937,-210.63528376159252,0.016590251083391922,-0.024610696007917838,-0.1636255100918759,NA,NA,-1.1636255100918762,0.6001095609823692
base,MAR,Morocco,Lower middle income,ok,"(1,1)",42,NA,NA,-Inf,-Inf,0,0,0,NA,NA,NA,NA
base,MDG,Madagascar,Low income,ok,"(1,0)",42,0.2733641090226934,0.23610072999821619,-253.1087641707146,-246.15808569758113,0.011217028922984915,-0.019575002807103507,0.5088099448733908,7.052370154707392,0.018300383324357343,-0.4911900551266091,0.26560228384949286
base,MDV,Maldives,Upper middle income,ok,"(1,0)",42,0.7521995889103296,0.7394918755211157,-354.766102695116,-347.81542422198254,0.0033441971577794455,0.02599907547027924,0.876132992641956,1.9035579528493296,0.5778515505016968,-0.1238670073580445,0.08893651966849382
base,MEX,Mexico,Upper middle income,ok,"(1,0)",40,0.10684308085291178,0.05856432846658277,-239.82476945943444,-233.06925164297868,0.011358744618702257,-0.0029743147391244713,0.32762691744091393,9.426366909874545,0.0028209584013133083,-0.6723730825590863,0.33754361748149414
base,MKD,North Macedonia,Upper middle income,insufficient_obs,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
base,MLI,Mali,Low income,ok,"(1,1)",42,0.5892006778551895,0.5567691524227044,-313.0358473739005,-304.3474992824836,0.005436816162930101,0.02647713112997756,0.7258643377993149,3.845184802595601,0.19027498873330928,-0.27413566220068547,0.22928443831417114
base,MLT,Malta,High income,ok,"(1,0)",42,0.18843884747393091,0.14682032683156832,-302.23106823296166,-295.2803897598282,0.006250389170444927,-0.001276375481018454,-0.42799773582458095,NA,NA,-1.427997735824581,0.7168610669555876
base,MUS,Mauritius,Upper middle income,ok,"(1,0)",47,0.6848073121873768,0.6704803718322576,-433.33429726016215,-425.9337068533219,0.002285877585159362,-0.023513243958234193,0.7252228020902921,5.540482900135776,0.05830571903017839,-0.2747771979097077,0.20117595324040083
base,MWI,Malawi,Low income,ok,"(1,0)",29,0.12123152832417812,0.05363395357988421,-146.08113381942817,-140.61195049948228,0.017936632303238626,-0.030934205531881993,0.3150326549294188,7.199575177633338,0.01654520504778359,-0.6849673450705817,0.3564221085998537
base,MYS,Malaysia,Upper middle income,ok,"(1,0)",42,0.03168328065087415,-0.017973987008055525,-279.928175752146,-272.97749727901254,0.008151111952636738,-0.013073293622578138,0.07951781620997331,NA,NA,-0.9204821837900272,0.46446313377087817
base,NAM,Namibia,Upper middle income,ok,"(1,1)",33,0.7057730012787111,0.6753357255489226,-321.67233693219,-314.1897991248576,0.0016956805643710503,0.03291776050785415,0.8460925242562077,3.462348230520588,0.2438143413811173,-0.15390747574379238,0.2333151460538157
base,NER,Niger,Low income,ok,"(1,0)",42,0.6444478120188724,0.6262143664813786,-299.51329241034375,-292.5626139372103,0.00645592428571624,0.06365436194343976,0.6655894937228235,15.435374023103329,3.770798468642504e-5,-0.3344105062771763,0.44182649977915406
base,NGA,Nigeria,Lower middle income,ok,"(1,0)",42,0.7835543205308524,0.7724545420965371,-425.1853116544412,-418.23463318130774,0.0014461469387520788,0.011711649282252445,0.8136546618468635,5.397900813511599,0.06453128825703648,-0.18634533815313625,0.2168014425771294
base,NLD,Netherlands,High income,ok,"(1,0)",42,0.35464426922900777,0.321549103548444,-329.972727539599,-323.02204906646557,0.004492394609508182,-0.027076093936926768,-0.3437250742336341,NA,NA,-1.3437250742336337,0.7639953983548698
base,NOR,Norway,High income,ok,"(1,0)",65,0.04072793338544848,0.009783673172075846,-374.636049303193,-365.93850022361045,0.013053926409333729,-0.0011533744271805823,-0.20145917358522242,NA,NA,-1.2014591735852218,0.6006690764481737
base,NPL,Nepal,Lower middle income,ok,"(1,0)",42,0.6642943340123978,0.6470786588335464,-348.38622366888944,-341.435545195756,0.003608086559623173,0.0351199311665226,0.7746757444074736,3.3678291479114564,0.258047275964579,-0.22532425559252664,0.1472736710654952
base,NZL,New Zealand,High income,ok,"(1,1)",71,0.1263147034960165,0.08719446633912176,-371.66800705359475,-360.35460766838816,0.016945588052013457,0.036581813724739586,0.00635818853588147,NA,NA,-0.9936418114641187,0.539225508534211
base,OMN,Oman,High income,ok,"(1,1)",42,NA,NA,-Inf,-Inf,0,0,0,NA,NA,NA,NA
base,PAK,Pakistan,Lower middle income,ok,"(1,0)",42,0.1115609491504775,0.06599997218383535,-295.3419691228417,-288.39129064970825,0.006784610012382979,-0.026877449391344784,0.25460744299359106,12.452426411971436,6.459406197784872e-4,-0.7453925570064088,0.38971770880304585
base,PAN,Panama,High income,ok,"(1,0)",42,0.2242257973095574,0.18444250486389357,-327.74130492687004,-320.7906264537366,0.00461333228880309,0.016314835050740568,-0.2094799202389695,NA,NA,-1.2094799202389699,0.698904181003544
base,PHL,Philippines,Lower middle income,ok,"(1,0)",42,0.2947947385657191,0.25863036618447377,-315.7282445885906,-308.77756611545715,0.0053226061338112534,-0.007361204500480175,0.5310747866115615,6.0000540265681925,0.040921031090860246,-0.46892521338843834,0.2352957378175281
base,POL,Poland,High income,ok,"(1,1)",36,0.09387285864641874,0.008923439144520429,-241.14888004591444,-233.2312853536339,0.007842278162311615,0.0075411003228380066,0.1084287361350945,14.799992425385163,1.6726434096533412e-4,-0.8915712638649055,0.48689373433418304
base,PRT,Portugal,High income,ok,"(1,0)",71,0.11078759217968738,0.08463428606732537,-424.7016928364962,-415.6509733283309,0.011742418657820452,-0.002085558254395769,-0.33230619037231623,NA,NA,-1.3323061903723181,0.6662333553204889
base,PRY,Paraguay,Upper middle income,ok,"(1,0)",42,0.10004052515925846,0.05388875721870756,-321.5047991648665,-314.55412069173303,0.004968880440838764,0.002435943950725022,-0.29015385848967407,NA,NA,-1.2901538584896737,0.6507050193200091
base,QAT,Qatar,High income,ok,"(1,0)",32,0.5815558278706214,0.5526976091030782,-366.4524257347719,-360.589482123573,7.314090718628928e-4,0.0012975404560123022,0.7271635856598765,2.4732560613159795,0.43510632706777913,-0.2728364143401227,0.14571488536915558
base,RUS,Russian Federation,Upper middle income,ok,"(1,0)",30,0.12032434262878236,0.05516318282350685,-133.6154087184575,-128.01061919180887,0.024076594635104517,-0.02826572539565713,-0.11665857766758196,NA,NA,-1.1166585776675821,0.581935175712677
base,RWA,Rwanda,Low income,ok,"(1,0)",42,0.7535326871714416,0.7408933377956182,-386.5073760116403,-379.55669753850685,0.0022918385386671175,0.059062835806644454,0.9030756640711581,8.878851469470645,0.0043296379515091596,-0.09692433592884177,0.31286859790722416
base,SAU,Saudi Arabia,High income,ok,"(1,1)",33,NA,NA,-Inf,-Inf,0,0,0,NA,NA,NA,NA
base,SDN,Sudan,Low income,ok,"(1,1)",30,0.6156975931697656,0.571355007766277,-309.9558377497674,-302.9498508414566,0.0012557962979955557,0.00666403617951664,0.7273729075335892,2.852708690010721,0.35206511423221,-0.27262709246641054,0.212396602121743
base,SEN,Senegal,Lower middle income,ok,"(1,0)",42,0.37158642402741154,0.3393600867980481,-273.67650681132255,-266.7258283381891,0.008780900667454229,-0.007771441410007255,0.605659356579171,5.210581155009994,0.074089648444326,-0.39434064342082936,0.21086437110984593
base,SGP,Singapore,High income,ok,"(1,0)",59,0.032940923346447035,-0.00159690081975139,-330.23923947951596,-321.92908970389306,0.014132475690964682,0.024043354361309742,-0.07631052700758363,NA,NA,-1.076310527007584,0.5492622417686581
base,SLE,Sierra Leone,Low income,ok,"(1,0)",42,0.6447450213890832,0.6265268173577541,-379.61075633256274,-372.6600778594293,0.002487944744904091,0.0035531454589630626,0.7881444897240729,2.2710582939613126,0.4833827556318973,-0.211855510275927,0.10431547531114935
base,SLV,El Salvador,Upper middle income,ok,"(1,0)",42,0.07406926965119405,0.026585642453819447,-208.75842305513984,-201.80774458200636,0.01901852139349014,0.0047533867080294424,-0.2730984343384128,NA,NA,-1.2730984343384126,0.630557869561539
base,STP,Sao Tome and Principe,Lower middle income,ok,"(1,0)",42,0.6842676266834524,0.6680762229236294,-350.78779881554897,-343.8371203424155,0.0035063913830295623,0.0013823764045047266,0.8276211427898997,1.8537768598939983,0.5909839455956702,-0.1723788572100998,0.08681259863568702
