spec,iso,country,income_group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
ctrl,IDN,Indonesia,Lower middle income,"L(dd, 1)",0.04893217843053844,0.05223684864554423,0.9367367997746227,0.3659708748905758,-0.05345204491472825,0.15131640177580513
ctrl,IDN,Indonesia,Lower middle income,"L(dd, 2)",-0.0281746473618956,0.0399201870333404,-0.7057744328293051,0.49278280481955017,-0.1064182139472428,0.05006891922345159
ctrl,IDN,Indonesia,Lower middle income,d_inf,0.09916349476503658,0.05478116138597313,1.8101751086720785,0.09343471983705398,-0.00820758155147075,0.2065345710815439
ctrl,IDN,Indonesia,Lower middle income,"L(d_inf, 1)",0.10054740711871168,0.06874203700105243,1.4626771551324893,0.16730883446305764,-0.03418698540335108,0.23528179964077445
ctrl,IDN,Indonesia,Lower middle income,"L(d_inf, 2)",-0.019139149286561942,0.03196739286350195,-0.5987084829934203,0.5596556322187576,-0.08179523929902577,0.04351694072590188
ctrl,IDN,Indonesia,Lower middle income,d_gov,1.2020840354047848,0.3550820101076181,3.385370143197223,0.004877533553991935,0.5061232955938534,1.8980447752157161
ctrl,IDN,Indonesia,Lower middle income,"L(d_gov, 1)",1.6204441237604235,0.910994940899443,1.7787630326031532,0.09865810162890445,-0.1651059604024847,3.4059942079233316
ctrl,IDN,Indonesia,Lower middle income,"L(d_gov, 2)",-0.02449298599128584,0.4973790027411774,-0.04924410933372539,0.9614733075688393,-0.9993558313639935,0.9503698593814219
ctrl,IDN,Indonesia,Lower middle income,d_log_gdp,-0.025849871619169896,0.12906996318150962,-0.20027798088713727,0.8443623012036551,-0.2788269994549288,0.22712725621658897
ctrl,IDN,Indonesia,Lower middle income,"L(d_log_gdp, 1)",0.2371421725149309,0.19700195735257084,1.2037554128993848,0.25014595439709986,-0.14898166389610792,0.6232660089259697
ctrl,IDN,Indonesia,Lower middle income,"L(d_log_gdp, 2)",-0.29783570657298775,0.1376849253161609,-2.1631685959016824,0.04974465047956761,-0.5676981601926631,-0.027973252953312433
ctrl,IND,India,Low income,(Intercept),-0.0047361457160318325,0.007571777827893812,-0.6254998262870654,0.5424684369907644,-0.019576830258703704,0.010104538826640037
ctrl,IND,India,Low income,"L(dy, 1)",0.4773975045788841,0.19562366946507267,2.440387228622763,0.029745268880189607,0.09397511242734163,0.8608198967304266
ctrl,IND,India,Low income,"L(dy, 2)",-0.37915564813724767,0.31220828568300873,-1.2144317288305793,0.24618277680961653,-0.9910838880759448,0.2327725918014495
ctrl,IND,India,Low income,dd,-0.07494825624039268,0.04546897363318456,-1.6483384218220685,0.12322676449876048,-0.1640674445614344,0.014170932080649054
ctrl,IND,India,Low income,"L(dd, 1)",0.04796462043825758,0.037101036188425876,1.2928108043845077,0.2185812041244487,-0.02475341049105713,0.1206826513675723
ctrl,IND,India,Low income,"L(dd, 2)",0.028034861688894606,0.014208450187356527,1.9731118678827895,0.07013074486058003,1.8629932167581187e-4,0.0558834240561134
ctrl,IND,India,Low income,d_inf,0.06890195211559925,0.07798314767320975,0.8835492561076725,0.39298636509339224,-0.08394501732389185,0.22174892155509035
ctrl,IND,India,Low income,"L(d_inf, 1)",-0.17329155678263566,0.11379268032615117,-1.522870858529297,0.15173996802813774,-0.39632521022189193,0.04974209665662063
ctrl,IND,India,Low income,"L(d_inf, 2)",-0.20493692960171667,0.0911309210003123,-2.2488188131119005,0.04250001135108387,-0.3835535347623288,-0.026320324441104576
ctrl,IND,India,Low income,d_gov,0.2963221844827226,0.2945500590808885,1.0060163810775113,0.33276660517987666,-0.28099593131581885,0.873640300281264
ctrl,IND,India,Low income,"L(d_gov, 1)",-0.5553801952433542,0.22366741965664239,-2.483062558221187,0.027451227970884215,-0.9937683377703733,-0.11699205271633517
ctrl,IND,India,Low income,"L(d_gov, 2)",0.4464478766732937,0.24622702871972127,1.8131554403049823,0.0929522323385886,-0.03615709961735997,0.9290528529639475
ctrl,IND,India,Low income,d_log_gdp,0.04605511217663195,0.0632447649069199,0.7282043382470199,0.47940084745879186,-0.07790462704093104,0.17001485139419495
ctrl,IND,India,Low income,"L(d_log_gdp, 1)",0.09281983875013679,0.05288852615447047,1.7550089877535957,0.10277950490720285,-0.010841672512625328,0.1964813500128989
ctrl,IND,India,Low income,"L(d_log_gdp, 2)",0.07507108708543937,0.043588606721281085,1.722263975204964,0.10871148393998036,-0.010362582088271552,0.16050475625915028
ctrl,IRL,Ireland,High income,(Intercept),-0.004077289640640506,0.005339659486507572,-0.7635860771540088,0.4536079132414115,-0.014543022234195346,0.0063884429529143345
ctrl,IRL,Ireland,High income,"L(dy, 1)",-0.28637552126314875,0.1937333959898596,-1.4781938849517622,0.15419887985143904,-0.6660929774032736,0.09334193487697606
ctrl,IRL,Ireland,High income,dd,-0.0663235323930126,0.023043377896432203,-2.8782035642127557,0.008997645188133075,-0.11148855307001972,-0.021158511716005482
ctrl,IRL,Ireland,High income,"L(dd, 1)",0.04890518833264071,0.027799944857501386,1.7591829258411065,0.09310985123839634,-0.005582703588062003,0.10339308025334343
ctrl,IRL,Ireland,High income,d_inf,0.09438814224771189,0.0924886561561227,1.020537503414287,0.3190873547898837,-0.0868896238182886,0.2756659083137124
ctrl,IRL,Ireland,High income,d_gov,0.26542575397718016,0.4573958184780106,0.5802977273827888,0.5678890840345224,-0.6310700502397206,1.161921558194081
ctrl,IRL,Ireland,High income,d_log_gdp,0.023784781564350325,0.06783254440560882,0.3506396785314108,0.729351580775139,-0.10916700547064295,0.1567365685993436
ctrl,IRL,Ireland,High income,"L(d_log_gdp, 1)",0.09638486212340139,0.06255308665392777,1.54084901767752,0.13828798651209062,-0.026219187718297038,0.21898891196509981
ctrl,IRN,Iran,Lower middle income,(Intercept),-0.0016035389968752731,0.004155075338158674,-0.38592296561965184,0.7031004101745639,-0.009747486659666274,0.006540408665915728
ctrl,IRN,Iran,Lower middle income,"L(dy, 1)",-0.5937986954875378,0.19401514430828556,-3.060579098629566,0.005540890380623942,-0.9740683783317775,-0.21352901264329816
ctrl,IRN,Iran,Lower middle income,dd,-0.014123148297806,0.014255322738121926,-0.990728063983956,0.33212744264204097,-0.042063580864524976,0.013817284268912974
ctrl,IRN,Iran,Lower middle income,d_inf,0.027613885596226375,0.030050202633193482,0.9189251045423584,0.3676719428825288,-0.03128451156483285,0.0865122827572856
ctrl,IRN,Iran,Lower middle income,d_gov,-0.18881114542405852,0.2589221156716567,-0.7292198464170322,0.47322839351965895,-0.6962984921405057,0.3186762012923886
ctrl,IRN,Iran,Lower middle income,d_log_gdp,-0.03014010793135837,0.039932894518066496,-0.7547689265981543,0.458047000279417,-0.10840858118676872,0.048128365324051965
ctrl,ISL,Iceland,High income,(Intercept),0.003000036004615702,0.002953317194093049,1.0158190967824574,0.32127698184961373,-0.002788465695806674,0.008788537705038079
ctrl,ISL,Iceland,High income,"L(dy, 1)",0.063614129143808,0.19043904556903882,0.33403931926736274,0.7416627196151394,-0.3096464001715081,0.43687465845912404
ctrl,ISL,Iceland,High income,dd,-0.024993302461761693,0.015451662145782296,-1.6175154637706013,0.120690356932746,-0.05527856026749499,0.005291955343971606
ctrl,ISL,Iceland,High income,d_inf,-0.04324793231269654,0.08317157415643245,-0.519984534996946,0.6085128763671759,-0.20626421765930414,0.11976835303391105
ctrl,ISL,Iceland,High income,"L(d_inf, 1)",0.185487679708062,0.08377294809782006,2.214171566356619,0.038013857237696916,0.021292701436334688,0.34968265797978926
ctrl,ISL,Iceland,High income,d_gov,0.19532952209250332,0.30030495642059646,0.6504372236165551,0.5224630372647493,-0.39326819249186573,0.7839272366768724
ctrl,ISL,Iceland,High income,d_log_gdp,-0.08857490675103445,0.07271492538188766,-1.2181117739700975,0.23669094430263032,-0.23109616049953424,0.05394634699746535
ctrl,ISL,Iceland,High income,"L(d_log_gdp, 1)",-0.1408365628392346,0.07557811277838769,-1.8634569938548162,0.07644308662344751,-0.28896966388487444,0.007296538206405273
ctrl,ISR,Israel,High income,(Intercept),1.0233512671543848e-4,5.533794906152559e-4,0.18492757402638957,0.854906841647662,-9.82288674890463e-4,0.00118695892832134
ctrl,ISR,Israel,High income,"L(dy, 1)",0.7608267372072455,0.13480227154941932,5.644020152348262,9.582077852508681e-6,0.4966142849703836,1.0250391894441073
ctrl,ISR,Israel,High income,dd,0.0016954176702948828,0.011978636072142236,0.14153678766798677,0.8886783250525809,-0.021782709031103898,0.025173544371693665
ctrl,ISR,Israel,High income,d_inf,0.004879226247661687,0.020914523657435995,0.23329368278138699,0.8175971630568809,-0.03611324012091287,0.045871692616236234
ctrl,ISR,Israel,High income,d_gov,-0.007012919734131671,0.052240463272241515,-0.13424306169692898,0.8943781684640923,-0.10940422774772503,0.0953783882794617
ctrl,ISR,Israel,High income,d_log_gdp,-0.008881234974076103,0.017506555531024835,-0.507309102486604,0.6167679517800144,-0.04319408381488478,0.025431613866732577
ctrl,ITA,Italy,High income,(Intercept),3.769691658244836e-4,9.116664883908951e-4,0.41349459547409684,0.6832472059909289,-0.0014098971514216706,0.002163835483070638
ctrl,ITA,Italy,High income,"L(dy, 1)",0.05597127737593221,0.1640958878641686,0.3410888481389783,0.7362727704049998,-0.26565666283783823,0.37759921758970266
ctrl,ITA,Italy,High income,dd,0.001432306739018316,0.02475155199562507,0.05786735067245407,0.9543766823571833,-0.047080735172406823,0.04994534865044345
ctrl,ITA,Italy,High income,d_inf,0.053932306475281994,0.07853726228230164,0.6867097847315163,0.49944056306234474,-0.10000072759802922,0.2078653405485932
ctrl,ITA,Italy,High income,"L(d_inf, 1)",-0.11710894078253935,0.06405853504941157,-1.8281551504761595,0.08111962647347411,-0.242663669479386,0.00844578791430732
ctrl,ITA,Italy,High income,d_gov,-0.04354236133435893,0.09280424847885416,-0.4691850001272328,0.6435538789486459,-0.22543868835291309,0.13835396568419522
ctrl,ITA,Italy,High income,d_log_gdp,0.08840328910187077,0.029031496577021976,3.0450820496743094,0.005939138605802691,0.0315015558109077,0.14530502239283383
ctrl,JAM,Jamaica,Lower middle income,(Intercept),-0.0013291358163152556,0.00112426099242613,-1.1822306610914342,0.24919277547587937,-0.0035326873614704704,8.74415728839959e-4
ctrl,JAM,Jamaica,Lower middle income,"L(dy, 1)",-0.240419174165939,0.21980635084172678,-1.093777196360694,0.28537619092736954,-0.6712396218157235,0.1904012734838455
ctrl,JAM,Jamaica,Lower middle income,dd,-4.837741923238812e-4,0.0067272513228087815,-0.07191260874759386,0.94329314405758,-0.013669186785029094,0.01270163840038133
ctrl,JAM,Jamaica,Lower middle income,d_inf,0.006203153477972846,0.01439668364553671,0.4308737783438035,0.6705713454710709,-0.022014346467279105,0.0344206534232248
ctrl,JAM,Jamaica,Lower middle income,d_gov,0.045606380468286675,0.05690916641701924,0.8013890088301775,0.43110828941896207,-0.06593558570907104,0.1571483466456444
ctrl,JAM,Jamaica,Lower middle income,d_log_gdp,0.00915610304736856,0.04025526053424424,0.22745109399005553,0.8220826970171036,-0.06974420759975014,0.08805641369448727
ctrl,JOR,Jordan,Lower middle income,(Intercept),0.0015668408117524284,0.0015234152471836865,1.0285054023510807,0.32115484513016246,-0.0014190530727275971,0.004552734696232454
ctrl,JOR,Jordan,Lower middle income,"L(dy, 1)",0.5366529811836512,0.1348841090146646,3.97862272363979,0.0013724146194996848,0.2722801275149086,0.8010258348523939
ctrl,JOR,Jordan,Lower middle income,dd,0.015227687688138926,0.020281875052316496,0.7508027560992047,0.46520460177227296,-0.02452478741440141,0.05498016279067926
ctrl,JOR,Jordan,Lower middle income,"L(dd, 1)",0.0027328090767487134,0.02035871766793222,0.13423286875544543,0.895129053977181,-0.037170277552398434,0.04263589570589586
ctrl,JOR,Jordan,Lower middle income,"L(dd, 2)",0.03208883073614964,0.01518799232066529,2.1127763340048906,0.053062831743432154,0.0023203657876456722,0.061857295684653604
ctrl,JOR,Jordan,Lower middle income,d_inf,0.06348712248630435,0.02991355618444684,2.1223528922754307,0.05212875725409315,0.004856552364788547,0.12211769260782016
ctrl,JOR,Jordan,Lower middle income,"L(d_inf, 1)",0.09918382447400016,0.03323676259389645,2.9841602109651357,0.009856082387861955,0.03403976978996312,0.1643278791580372
ctrl,JOR,Jordan,Lower middle income,"L(d_inf, 2)",0.13512126148195708,0.023909854809967608,5.6512790460621005,5.978120617944866e-5,0.08825794605442057,0.1819845769094936
