spec,iso,country,income_group,variable,sum_beta,lr_multiplier
ctrl,BLZ,Belize,Lower middle income,d_gov,0.010652340123293571,0.009267888494431265
ctrl,BLZ,Belize,Lower middle income,d_log_gdp,0.008606740345732534,0.007488148979616807
ctrl,BOL,Bolivia,Lower middle income,dd,-0.005280209685321104,-0.004171104034513934
ctrl,BOL,Bolivia,Lower middle income,d_inf,-0.00950930780446013,-0.007511882010838439
ctrl,BOL,Bolivia,Lower middle income,d_gov,0.0021051524206907412,0.0016629661090203356
ctrl,BOL,Bolivia,Lower middle income,d_log_gdp,-0.05162498146181337,-0.04078117750810153
ctrl,BRA,Brazil,Upper middle income,dd,0.0023297087448782834,0.002228431895354098
ctrl,BRA,Brazil,Upper middle income,d_inf,-1.0059763761889052e-5,-9.622446786966111e-6
ctrl,BRA,Brazil,Upper middle income,d_gov,0.004158037347955288,0.003977279592836499
ctrl,BRA,Brazil,Upper middle income,d_log_gdp,7.884578096482675e-4,7.541820560290792e-4
ctrl,BRB,Barbados,High income,dd,-0.004733210916498218,-0.057589768206617736
ctrl,BRB,Barbados,High income,d_inf,-0.020954353855255143,-0.2549551251217826
ctrl,BRB,Barbados,High income,d_gov,0.008465456182106796,0.10300062006353505
ctrl,BRB,Barbados,High income,d_log_gdp,0.0016606001540714315,0.02020479958404225
ctrl,BTN,Bhutan,Low income,dd,-0.020967866475507295,-0.06321504221163077
ctrl,BTN,Bhutan,Low income,d_inf,-0.005934526451551031,-0.01789172687545748
ctrl,BTN,Bhutan,Low income,d_gov,0.00992351152559091,0.029917931836823026
ctrl,BTN,Bhutan,Low income,d_log_gdp,0.0118395097744627,0.03569438555095373
ctrl,BWA,Botswana,Upper middle income,dd,-0.0013783454988028963,-0.005283824150616752
ctrl,BWA,Botswana,Upper middle income,d_inf,0.011697070244112885,0.044840181435628866
ctrl,BWA,Botswana,Upper middle income,d_gov,-0.014847755761549631,-0.05691818962914011
ctrl,BWA,Botswana,Upper middle income,d_log_gdp,0.004134293529849949,0.015848624323678052
